Question,Type,Response
Morale Analysis,Improve/Good,"Evaluate those who have little to no work life balance and reward them financially for the loyal commitment they continue to make. Offer a week long all expenses paid trip for those who have been here 20, 25 years. Reward those making the large contributions."
Morale Analysis,Very Good,"Even with team performance, I think there is great morale here. "
Reward & Recognition,Improve/Good,Every program introduced and they include the ones listed above only enhances working here and feeling included in the whole Reds family. The Reds Scout of the Year award is especially notable and something to work towards every year. No other suggestions.
Morale Analysis,Very Good,everyone seems to be working together
Culture Analysis,Improve/Good,Everyone should be held accountable to the same standard.
Morale Analysis,Improve/Good,Express to employees the opportunities for escalation within the organization. 
Better Place to Work Analysis,Improve/Good,Extend the catch-up payments for 5 years for former NUP eligible employees.
Reward & Recognition,Improve/Good,"Extra day off during birthday month
Extra day during anniversary month
Nametag tenure recognition - jewel indicating every 5 years of service - 5 years - 1 ruby, 10 years - 2 rubys? Or just years of tenue on the nametag?
I think it is interesting we give a jersey starting at 15 years for staff, but we give a framed jersey to anyone leaving even if they were only here 5 years. I do not think staff leaving should get a framed jersey when we do not even do it for those who have been here 10, 12, 13, etc years....I think we should come up with a different parting gift. We have parties for those leaving but not for those who are promoted or have milestone anniversaries. 
"
Culture Analysis,Improve/Good,Fewer mandatory cybersecurity trainings would be appreciated. 
Better Place to Work Analysis,Improve/Good,Fewer meetings might be beneficial.    
Culture Analysis,Improve/Good,Find a better work/life balance. Find better methods of communication.
Reward & Recognition,Improve/Good,Find a better work/life balance. Find better methods of communication.
Morale Analysis,Improve/Good,Find a better work/life balance. Find better methods of communication.
Better Place to Work Analysis,Improve/Good,Find a better work/life balance. Find better methods of communication.
Better Place to Work Analysis,Improve/Good,Fine now
Better Place to Work Analysis,Improve,"First of all, thank you for issuing this survey.  Our organization is full of top-down feedback, and is missing a crucial feedback loop from its employees. I appreciate that this is an opportunity for all voices of the organization to be heard.

I love our organization, but it is flawed. We have seen that recently with the number of individuals who have left, especially those who were long tenured or in leadership capacities.   We do not invest in our talent.  Despite having incredible team members on staff, we often make the joke of a ""Reds promotion,"" which is more work for no increased pay.  Additionally, when there has been a vacancy left from someone who has left a leadership role, that has been backfilled by a junior or entry level employee.  The work has either been reallocated to other leaders (who are not provided an increased title or pay), dumped on other more junior staff members, or is left undone altogether.  We have incredible staff that should be invested in when assigned increased workload and responsibility.  

Lastly, I am often told ""we are lucky to work here."" We are. I feel fortunate to work for one of 30 MLB teams. However, the organization is lucky to have us.  We are skilled professionals who are incredibly hard working and dedicate a lot to our work.  We are lean, and incredibly efficient with our time.  The organization is better served from our dedication."
Better Place to Work Analysis,Improve,"First of all, when it is said at your company meeting ""turnover is part of this business"" I think that right there tells you that you don't really value the workers you have and that you feel anyone can come in here and do there job. I understand turnover on the athlete and coach side of the industry but there should never be a business that thinks turnover is normal. You don't just let people with 15+ years of service walk because ""turnover is part of the business"". Good companies try everything they can to keep them here. "
Better Place to Work Analysis,Improve/Good,"Fitness rewards program - incentivize employees to be active and make healthier lifestyle decisions, which would not only benefit the employee, but also the organization as well (fewer insurance claims)."
Culture Analysis,Improve/Good,"Flexing hours should be encouraged. When we work overtime and get paid half-time, we should not be discouraged from taking that time back for ourselves."
Culture Analysis,Improve,"Focus on the positives, thank and recognize staff AUTHENTICALLY.  People want a leader, someone they can follow, trust and rally behind. The Reds organization has not had a vocal leader for the past 15 months.  many of us work here because we believe in him.  I would love to see him step back up and be the internal face of the organization in a more consistent way"
Morale Analysis,Improve,"For the most part see the answer to the first question.  

Demonstrate org value of job performance with more than a ""thanks"".

Morale has taken a huge hit in recent years with consistent promotions from outside the org.  Significant turnover where we have lost very talented people to other teams that have promoted them to higher positions than what we have.  There has also been a lot  of turnover that has created new directions annually.  We continue to hire part time or intern head counts that are band-aids to real staffing issues.  We have very real issues with facility space and ability to execute job tasks as a results in a low stress environment. "
Reward & Recognition,Improve/Good,"For the Redsway Award, maybe have an online place that lists the award winners."
Better Place to Work Analysis,Improve/Good,"Formal ""Work from Home"" policy"
Morale Analysis,Improve/Good,"Free food is always a morale booster. Bonuses, gift cards, etc. "
Better Place to Work Analysis,Improve/Good,"Friday's in summer, when team is out of town. 3pm end of work day."
Morale Analysis,Very Good,"Generally I think morale is high in my department. We work in pro sports, so winning is the best way to drive morale. Well get there. "
Better Place to Work Analysis,Improve,"Generally taking better care of employees -- i.e., actually providing quality food options to those employees who are required to stay for games. Crazy idea: not only could we improve press dining in about an infinite number of ways, we could also...wait for it...provide an employee discount on Stadium food options so that people who don't like whatever food might happen to be in press dining that night (likely smothered in mushrooms, lol) could still eat when they are required to be at the ballpark for over 12 hours that day.

Also, I think generally just inspiring a sense of pride for working where you do is important, and I feel we are lacking in that right now. For example, when our scoreboard and game presentation is being out-done by minor league stadiums all across the US, it does not exactly inspire pride to work for the Reds (amongst staff, but also amongst players).

Additionally, this may be an issue that plagues certain departments more than others, but we are understaffed. That impacts our culture and morale in a multitude of ways. For example, I am already at the 5 minute time estimation for this survey and do not have the time to complete it due to having other work to get done because we are understaffed and probably overworked. Additionally, it impacts my next answer (which I've already written, so that will be included here) in that we do not have enough time for team-bonding and cross-departmental mingling. Well, I guess some departments do................."
Better Place to Work Analysis,Improve/Good,get everyone on the same page as far as work hours and off days
Better Place to Work Analysis,Improve/Good,Get more employee input.
Culture Analysis,Improve/Good,Get more informed about what is going on around you. Learn how to care about someone other than yourself.
Morale Analysis,Improve,Get our leadership to look us in the eye and acknowledge our presence when they pass us in the halls.
Culture Analysis,Improve/Good,Get to know your team as people not just employees
Morale Analysis,Improve/Good,"Get together to watch one Reds game per week or two per month. Minor League or Major League. Make it an group outing. Sit in a section and cheer for the Reds and have a beer together. Interview a person like Lance Haug who has a ton of positivity. People feed of people like that. Employee softball game at GABP once a month. Or maybe even just a round of BP or an opportunity to play catch and have their family at the ballpark for an employee picnic when the team is on the road. Also make sure we have a strong out-reach program for those that want to represent the Reds in the community, but may not have the personal resources to make the impact they can or want to. They can apply for money to make some great things happen in connection with the Reds within their community. Also make sure our own people are very aware that we have people that can help them when they are struggling. Our mental skills coaches are not just for the players for example. And neither is our training staff. For example, April in the Finance dept sits at her desk 7 hours a day. She has an issue with her back. April gets word on Friday that she can visit the team chiro at 11am before lunch. Whaaaat really? Instantly April feels better and knows, the Reds really do have her back.  "
Reward & Recognition,Improve/Good,"Give day off for birthday.  

For employee discounts on premium tickets also set up day before options if suites are available for use"
Morale Analysis,Improve/Good,Give employees something to look forward to throughout the long season. Some kind of incentive or something else that drives employees get better on a daily/weekly/monthly basis. 
Reward & Recognition,Improve/Good,Give performance based incentives.
Culture Analysis,Improve/Good,Give us a planned staff activity. Its as simple as a dinner once a month where we can go have a meal away from the field.
Morale Analysis,Improve/Good,Giving positive feedback when deserved. Import to recognize people who are working hard and doing the right things consistently. 
Reward & Recognition,Improve/Good,Good in theory but difficult to execute because of different department's being spread all over the country.
Morale Analysis,Very Good,Good morale in our department. No issues at all. 
Reward & Recognition,Very Good,Great
Better Place to Work Analysis,Very Good,Great place to work
Better Place to Work Analysis,Improve/Good,"Great place to work. One suggestion to improve it, would be a change to the expense policy. Reimbursing expenses weekly, instead of only during pay cycles would be a lot easier financially on those who use personal credit cards to cover work expenses. Running high credit card balances every month is not good for overall financial well-being. "
Better Place to Work Analysis,Improve/Good,Gym membership reimbursement 
Reward & Recognition,Improve/Good,Has been fine. working in my 20th season. Someone could check on MLB Lifetime Pass for me. Over 24+ years in Scouting.
Better Place to Work Analysis,Improve/Good,Have a more cooperative environment between departments and a more equal paygrade & benefits.
Culture Analysis,Improve/Good,Have a positive attitude when everyone wants everything to be perfect and its not always possible. 
Reward & Recognition,Improve/Good,Have a way to submit online of anyone wanting/noticing good behavior from another reds staff members. I think having rewards like being taken out to lunch or some form of acknowledgement would be a great way to reward the reds member.
Culture Analysis,Improve/Good,"Have baseball ops and communications prepare one-sheeters on minor league's 

Positive sales one -sheeters for ticketing, corporate and other sales efforts."
Better Place to Work Analysis,Improve/Good,Have different departments occasionally meet together to meet each other and bond through team building exercises. Allow more integration amongst departments. Have more direction for projects and inform planned projects ahead of time rather than last minute.
Morale Analysis,Improve/Good,"Have different departments occasionally meet together to meet each other and bond through team building exercises. Also have more team bonding exercises/ events for within individual departments. 
"
Morale Analysis,Improve/Good,have leaders send notes of appreciation to departments and/or individual staff members one a regular basis  
Morale Analysis,Improve/Good,Have lunch brought in for the office on Monday's to kick off the week.
Better Place to Work Analysis,Improve/Good,Have more experienced employees available for input and guidance.
Better Place to Work Analysis,Improve/Good,Have more more social events on non-game days. Regular scheduled lunch in press dinning room.
Better Place to Work Analysis,Improve/Good,Have more office space on the 3rd floor
Morale Analysis,Improve/Good,"Have more social gatherings or appreciation days for employees throughout the year.  The season is long so lets celebrate that we've made it past spring training, or we made it to the all star break or we only have one more month. Stuff like that. "
Culture Analysis,Improve/Good,Have Reds History that posted thru our Goodyear Complex. 
Reward & Recognition,Improve/Good,"Having a more established reward and recognition program (outside of the seniority based awards) would be nice. Id love to see employees recognized for performance based initiatives in the newsletter or some other outlet. It would also be nice to publicly recognize another co-worker for going “above and beyond”. What about being able to nominate another employee for an award? For example, nominating an “Employee of the Month”."
Morale Analysis,Improve/Good,"Having more flexibility in schedule by working from home, with appointments, and other situations knowing the work/life balance is most important her at the Reds "
Morale Analysis,Improve/Good,"Having one day - after the conclusion of the season - for a company 'on-field' batting practice on the major league field would be pretty fun for employees.

It would be nice to allow front office employees to park in their normal parking garage P1/P2 areas for games that are unlikely to be sellouts - or at a minimum, allow employees the opportunity to park in the normal P1/P2 areas of the parking garage on the day of a night game if those employees plan to leave by 5:00pm.

Having a well-catered staff Christmas party would be a nice way to acknowledge the effort that staff put in throughout the year and strengthen morale.

I know the cost-of-living payments were really well received by employees this past year. In a similar way, I know a lot of other teams provide modest Christmas bonuses each year that boost morale."
Morale Analysis,Improve/Good,Having one of the players  walk through of the front office and just say hello and thank you would go a long way for morale. Seeing the some of the team come to the press conference for Hunter was nice. It felt like we were all part of one staff. Obviously no autographs. But having that random act would go a long way. Benchmark other teams. What are they doing to help morale. 
Reward & Recognition,Improve/Good,Having rewards for milestones accomplished.
Better Place to Work Analysis,Improve/Good,"Having the schedule at least 1-2 weeks in advance for homestands so I know exactly when I will be working and can plan my schedule around it. 


"
Morale Analysis,Improve/Good,Hearing more from the Front Office - even if it's just a brief update every month in the HR newsletter
Morale Analysis,Improve/Good,Helping them complete the task sooner than they expected so that they do not feel they are going to be stuck with the task for a long period of time 
Better Place to Work Analysis,Improve/Good,Higher Wages 
Better Place to Work Analysis,Improve/Good,"Higher wages, more benefits and a more employee friendly workplace. The wages and benefits offered by the Reds are significantly worse than many other companies which has resulted in well respected and excellent employees moving to new jobs at a high rate recently. As employees, it is nearly impossible to not feel like you are being stretched and asked to do more work, while making no additional money and having the feeling that the organization is more focused on cost cutting and saving decisions (cutting pension program) as opposed to doing things to raise employee happiness. 

I think the way to improve these things is to start doing things that show the employee that you care and the employee is valued and important. This is not done by sending a piece of mail telling everyone all of the ""benefits"" they received but by doing things for employees to show that we matter and valued. "
Reward & Recognition,Improve/Good,Highlight achievements or milestones more broadly throughout all communication platforms so everyone in the org sees it. 
Better Place to Work Analysis,Improve/Good,Hire me
Better Place to Work Analysis,Improve/Good,Hire more employees to balance out the workload and pay current staff more.
Reward & Recognition,Improve/Good,Hiring adequate number of employees to finish job tasks without burnout
Better Place to Work Analysis,Improve/Good,Hold more events for employees based at the Arizona complex. We often see emails related to different events held in Cincinnati (i.e. Wellness month) but haven't had anything similar offered in Goodyear.
Better Place to Work Analysis,Improve/Good,"Honestly, the biggest thing is money.  Overall, the Reds staff is poorly compensated"
Reward & Recognition,Improve/Good,"Host more lunch and learns offering professional coaching, inspiring and strategic leadership, offer opportunities to attend Chamber Programs, Disney Institute classes, outside of the box opportunities to grow "
Morale Analysis,Improve,"How about putting a competitive team on the field so that employees are excited to come to work every day?  Would improve overall attitude tremendously.  It's so much fun to be a part of this Organization when the team is winning. And I do understand this is ""mostly"" out of ""our"" control.  

When I think of morale and how I feel at work, I think of the people I work with.  I love my co-workers (in my department) and consider them family/friends.  Would be nice if there were other opportunities to get to know people from other departments. Not just see them in the hallways and not get said ""hi!"" to... Maybe it's an off-site; maybe it's a job shadow type deal to get an idea of who those people are and what/why they do what they do for the Company.

And not sure if this falls under Culture or Morale, but having the confidence to make my own decisions without worry of making mistakes and/or having someone looking over my shoulder.  Be nice to know that there is a safety net and that I can learn from my mistakes, versus being scolded or second-guessed.

Overall, I believe Morale is in a good spot. I do enjoy coming to work and am satisfied with my job, for the most part."
Morale Analysis,Improve/Good,Hybrid remote working schedules
Reward & Recognition,Improve/Good,"I agree and think it is important to recognize people in the organization who are doing well. I think there needs to be some level of criteria for why someone gets recognized. How do we measure performance? Is it subjective/objective or both? Keeping people in the organization who we feel like are doing a good job is important, one way to help do that is to offer more multiple year contracts and increased compensation. "
Morale Analysis,Very Good,I already feel good about the work  I do.
Better Place to Work Analysis,Very Good,I am content in my job/ nothing needed.
Culture Analysis,Very Good,I am currently satisfied with the Reds culture. 
Reward & Recognition,Improve/Good,"I am indifferent to our current rewards and recognition program. While personal recognition is great, I dont see this current system making much of a difference in strengthening our organization. The personalized reward pamphlet which itemized our “rewards & benefits” sort of led to some personal frustration. It was sort of insulting to know that someone considered earned salary and benefits a reward, when it is actually earned through work provided. It made me realize that Human Resources is really disconnected from what employees actually do and how they are compensated, especially compared to other companies, industries, and MLB organizations. "
Better Place to Work Analysis,Improve/Good,I am not in the office. Not qualified to answer.
Reward & Recognition,Improve/Good,"I am not sure what the Reds do. Improve by telling us what the program is. Maybe the newsletter is the program. Improve by giving awards for years of service. Is there a way for employees to give other employees gift cards or good job recognition? Some of our staff is really helpful. I say thanks but would like to do more. Start a program for employees to recognize other employees. I recently got a birthday card in the mail signed by Phil. This was a positive surprise, put a big smile on my face. I used the $10 gift card for a birthday dinner. Keep doing this! Start employee of the month recognition & employee of the year recognition. A lot of companies do this. Highlight some of our employees on Reds.com. "
Reward & Recognition,Improve/Good,I am probably the wrong person to ask this question to as I am not huge into rewards and recognition.  As long as I can make a good living and provide my family with a comfortable lifestyle that is all that matters to me.
Better Place to Work Analysis,Very Good,I am quite content with my workplace environment and the great co-workings I have.
Culture Analysis,Very Good,"I am satisfied with the Reds culture. I feel there is a good balance between desiring success for me as an individual in my career and life, and results for the organization. This is slightly more difficult to grasp working from home, however I think that when I move into the office it will become an even bigger positive to working with the reds."
Morale Analysis,Very Good,I am very pleased with morale and take a lot of pride in what we do.
Culture Analysis,Very Good,I am very pleased with the Reds Culture and enjoy working here very much!
Culture Analysis,Very Good,I appreciate the current culture of the Reds. 
Morale Analysis,Improve,"I appreciate things like the Bats game outing. The job is satisfying when you get to hear stories of fans with great experiences. The only time I'm having a negative attitude about coming into work - is when it just feels like I live at the ballpark/at my desk.

Jokes from leadership about promotions typically being ""title change only"" and ""simply more work/responsibility"" are in very bad taste. Karen's words at the Opening Day luncheon were excellent and more in line with what should be expected."
Culture Analysis,Improve/Good,"I believe a way to strengthen the Reds culture is by having faith in people. I have a strong belief that working as a team creates some of the best success in organizations. In doing so, that means having trust in employees that may be new, or employees that are not familiar with how this organization operates. I believe this can help people find confidence in themselves while in their workplace which can be huge WIN now a days. This will build a stronger relationship working with employees at the Cincinnati Reds. "
Culture Analysis,Improve/Good,"I believe certain departments create and strengthen the Reds culture through continuity and maintaining a common goal. That being said, Im not sure this culture is consistent or seen from top to bottom across every department. "
Morale Analysis,Improve,"I believe employees enjoy working here - for a while. And the staff works very hard - for a while. But it is not sustainable. For many departments, it feels as though there is no end in sight - other than a week or so during the holidays. It is ALWAYS on to the next thing. It creates burn-out, which in turn creates low morale because workload is not manageable."
Morale Analysis,Improve/Good,"I believe our PTO allowance could be improved as well. Two weeks is 3% of our time working we are able to take off. Many companies are moving to an unlimited PTO. PTO would have to be approved by the manager and there would still be a way to abuse it, but not having to plan out every single day and being able to take an additional 2-3 days would be giant leap in employee morale and culture. 

Please update the nametags on employees offices. Many are outdates with maiden names or are absent for new employees. "
Culture Analysis,Improve/Good,I believe that flexing hours is a big asset of working in sports. It is crucial for us employees to have a work/home life balance. 
Morale Analysis,Improve,"I believe that morale is at an all time low right now in my tenure as a Reds employee. I think the simplest way to improve morale is to find ways to make employees feel appreciated and respected. Many employees work very long hours for very low wages and there is an attitude or mindset from many levels of management of ""that's just the way it is"" as opposed to an appreciation to the employee for the hard work. People have low morale currently because overall there is a lack of appreciation of the efforts being put in. Entering into the profession of sports, people are aware of the long hours and lower salaries but the messaging from upper management should be one of appreciation and respect, as opposed to expecting people to be overworked and underpaid. 

To strengthen morale, the messaging needs to change from ""you are lucky to be an employee"" to ""we are lucky to have you as an employee"". Too often when people leave the Reds for other jobs, it is joked about that they are moving on to bigger and better things and making more money with more benefits and freedoms. 

It shouldn't take someone threating to leave to suddenly find more money for their salary, people earn rewards, raises, etc on merit - not just because they threaten to leave. Until people begin to feel that the organization cares about them as a person, the morale will remain low. 

The littlest of things could make big impacts, for example when inflation in the world is pushing 5-7% and we are given a 1% salary increase regardless of how hard we work or have accomplished. The structure of people only getting raises or promotions by request makes the employee feel that their work doesn't matter and thus lower morale. 

One final thing impacting morale is the impact felt by many people that work in sales with decisions made from a roster standpoint and comments/actions that have resulted in negative outcomes. There has not been a conversation or clear and concise messaging to employees showing that upper management understands the financial impact this has had on the general employee and it hasn't been shown that there is remorse for this negative impact. I honestly believe a very honest and real conversation about the situation would help people feel better, more proud and more upbeat about working here. "
Culture Analysis,Improve/Good,I believe that the moral has lowered overall due to high turnover rate. I wish that there was more inclusion in the decision making process where applicable. It sometimes feels as if opinions and experience don't factor into decision making. 
Reward & Recognition,Improve/Good,I believe that the Reward and Recognition from the Reds has been outstanding since I've been working here. They have always recognized when employees are working hard. I do not have any strengths to recommend.  
Culture Analysis,Improve/Good,"I believe the ability to Work From Home at my discretion (without hurting the business) should be an option. Hybrid work environments are the future; let's lean into it.  

Would be nice if there was an opportunity for advancement into a management role.  Versus you are either a worker bee or a leader bee. Not much room for leading a team, or learning the hiring process, etc.  For example, I'd love to be on the HYPE Committee (or something similar) and learn how those types of decisions are made.  Maybe it's a rotating committee.

"
Reward & Recognition,Improve/Good,i believe this is heading in the right direction
Reward & Recognition,Very Good,"I believe this organization does a very fine job in this area. There is genuine thought and respect given to those who have worked here. The gifts, notes and recognition by the Reds is really quite nice."
Morale Analysis,Improve/Good,I believe we need more structure in the workplace. Set realistic goals for employees to accomplish day to day.
Reward & Recognition,Improve,"I can't think of any rewards system we have for positively acknowledging excellent performance. First, the annual reviews need to change. They don't serve our department very well and in my time being here, it's never been used as an award or bonus or used for even a raise. I have not heard that at least. I have only heard it being used to criticize. 

Everything else is fine. Reds Way is viewed primarily as a game day initiative, so if it were a full-time, that should be clearly explained. "
Reward & Recognition,Very Good,I currently do not have any ideas. 
Morale Analysis,Improve,"I definitely get the feeling that a lot of staff - particularly younger staff - don't always feel their opinions are appreciated and truly considered. Now, I personally don't think it's as bad as some of them would have you believe, but the feeling is definitely there. We have to find a way to get some more middle ground at times to make sure everyone feels valued and heard, even if we don't ultimately always go with what they wanted. "
Reward & Recognition,Improve/Good,I didn't know this was a thing so I have no ideas to strengthen it. I wonder if not every department (non game day duties) is rewarded for their hard work. 
Reward & Recognition,Improve/Good,"I didn't realized the Reds had an official rewards and recognition program. 

Our staff makes a point to recognize peer to peer success stories and appreciation. We try to encourage staff outing and team-building events when possible. We have a very wonderful staff that is super helpful, reliable and accountable. 
"
Better Place to Work Analysis,Very Good,"I do think that the Reds is already a great place to work! That being said, I do have a few suggestions:
1) Develop a formal ""how-to"" for employees and new hires. Examples- How to book a conference room, How to reach out to IT for assistance (submit a ""Help"" ticket, etc.), How to request employee tickets, How to view HR/Payroll information (payroll schedules, etc.). 
2) Implement a chat feature for employees to communicate. Being able to quickly ""ping"" an employee would be helpful.
3) With multiple employees sharing a space (speaking of front office employees in particular), it is difficult to get privacy. Is there a way to add a huddle room where employees can go to take a personal phone call or get on a Zoom call without distraction? Or can we figure out a way for employees to be on a Zoom call without distractions? Maybe giving everyone a ""sign"" to indicate to other employees not to bother them when their on a call? 
4) Bring back the monthly lunches!"
Better Place to Work Analysis,Very Good,I dont have any current suggestions. I am quite pleased with those I work for and with. 
Better Place to Work Analysis,Improve/Good,I dont have any suggestions at this time.
Better Place to Work Analysis,Improve/Good,I dont have anything at this time.  Id prefer to discuss this in person. Thank you
Morale Analysis,Very Good,I dont have one
Better Place to Work Analysis,Improve/Good,I dont have one 
Culture Analysis,Improve,"I don't believe that culture is as important as employees who are compensated appropriately. Any of use could leave the team and get a job in the private sector with a 20-30% pay increase. 
 "
Morale Analysis,Very Good,"I don't have a great suggestion, because I believe the morale is positive amongst the employees I interact with most often. As stated in an earlier answer, I'm pretty happy here, otherwise I wouldn't still be here."
Reward & Recognition,Very Good,I don't have any ideas outside of the current way.
Reward & Recognition,Improve/Good,I don't have any suggestions as of yet.
Morale Analysis,Very Good,I don't have any suggestions as of yet. 
Better Place to Work Analysis,Improve/Good,I don't have any suggestions at this time.  
Reward & Recognition,Improve/Good,I don't have any.
Culture Analysis,Very Good,I don't have anything at this time.  I'd prefer to discuss this in person.
Morale Analysis,Improve,i don't know it pretty low
Reward & Recognition,Improve/Good,"I don't know that I have a good answer here. I just think above all else it needs to feel authentic and genuine. Not just like they're being thrown a bone. When we have a luncheon and we're going through names of new people or names of people who have been promoted and the speaker is jokingly talking about how they can't pronounce a name or don't know who they are, to some people that shows this is just a check the box, etc. It has to be authentic or it's just not worth doing."
Better Place to Work Analysis,Very Good,I don't really have any suggestions. I think the Reds do a great job at taking care of the employees. I have worked at many different places and the reds are above and beyond at caring for employees.
Morale Analysis,Very Good,I don't think morale is a problem. Everyone seems happy while they are at work. I think giving staff more days to unplug will help everyone feel like they don't live here. 
Morale Analysis,Very Good,"I don't think this is an issue either.  My direct reports are good, compassionate people who I have respect for because they want to do the right things."
Culture Analysis,Very Good,I don't think this is an issue.
Morale Analysis,Very Good,"I enjoy the work and don't have any direct feedback. Ideally the team would be doing better, but the future looks bright."
Morale Analysis,Improve,I feel at times there are too many commutation streams and this leads to confusion and can disrupt morale. 
Morale Analysis,Improve/Good,"I feel great a work, I wish we have more human communication. person to person. "
Morale Analysis,Very Good,I feel Great about the work group 
Reward & Recognition,Improve/Good,"I feel I bring a lot to this department and organization but I haven't felt that in any meaningful way publicly. Maybe instead of birthdays or anniversaries, which are by nature just repetitive information, we could highlight a few employees and talk about what they do and what they have accomplished in their department that month, year, etc. It would give us a better idea of who we are working with and what they do to help run this organization.  

I would say making leadership aware of the importance of supporting their employees and making them feel valued and heard would be the best way to reward and recognize their staff.

Delineating rewards and attaching a monetary value weren't the best way to make people feel appreciated. "
Culture Analysis,Improve,"I feel like culture starts at the top and trickles down making it extremely hard for positive change and open communication to occur. As mentioned before, times are changing and in order to be productive, proactive, and successful you have to be more aware of what is going in the work environment. I feel like they also have to be understanding that people have personal lives/ideas/goals that we should be supporting as well.     "
Culture Analysis,Improve/Good,"I feel like each department is kinda different in their culture... I feel like my department has a great culture and i'm grateful for that. Ultimately, I think that as long as it is encouraged from the top-down to NOT micro-manage and have faith and trust in your employees to do their jobs, then that will ultimately create a great culture for all. I feel like fortunately, that is not an issue in my department bc of our leadership. I do not think everyone is that lucky. For instance, I can wfh on days I need to and know that my boss trusts and supports that I WILL get my job done and not feel the need to make me feel bad about being a mom and a person with obligations outside of the workplace. I feel that not all departments have this support from their management. In return, this kind of respect makes me feel more empowered as an individual and encourages me to put that much more into the work that I provide. "
Morale Analysis,Very Good,"I feel like morale is high here. Obviously incentives and collaboration always strengthen moral, but I think we do a very good job with both. "
Culture Analysis,Improve/Good,"I feel like the Reds already have a great culture. That being said, I do have a few suggestions. 1) Establish monthly or quarterly lunches with the Executive. Employees can be nominated to attend these lunches or departments can rotate. It is a great way for our leadership to get to know employees on an individual level.  2) Try to establish more consistent company-wide town halls/business updates. "
Reward & Recognition,Very Good,I feel like the Reds do a very good job recognizing milestones professionally and personally. The newsletters are great to read. 
Better Place to Work Analysis,Improve/Good,"I feel like the Reds is a great place to work, and as the core of the young players begins to emerge from the farm system, it will become an even more fun/exciting place to be.  While it's nothing that can be controlled by the great majority of the front office, winning on the field improves everything.  From a practical standpoint, I feel that an understanding of what working in baseball entails at the beginning of the relationship with an employee would be helpful to making staff understand to what they're committing.  Success is not defined by how many days one can wear jeans or how many days someone can leave at Noon.  Success includes understanding how your role affects the overall positive outcome for fans and why you're an important part of it.  Working in baseball is a lifestyle choice, and knowledge of that makes for a workplace where all are on the same page."
Reward & Recognition,Very Good,I feel like we do a good job in this aspect. 
Reward & Recognition,Improve/Good,"I feel many times BPO hesitates to reward or bring public recognition to many of us because they are busy ""managing egos"". They are afraid of making someone mad by giving someone else a positive remark."
Culture Analysis,Very Good,I feel our culture in our department is very good and continues to improve. Continue to communicate as an organization and make all feel involved. Does not happen in most organizations. 
Culture Analysis,Improve/Good,I feel that everyone here does a great job in their line of work. I feel that management and those under them aren't always on the same page as to what is important and what needs to be done in order of importance/needs.
Reward & Recognition,Improve/Good,I feel that I cannot really contribute to this because I am a newer employee and am not a manager or supervisor. 
Reward & Recognition,Improve/Good,"I feel that milestones are very recognized by the Reds. 

The Benefits statment was underwhelmining and not needed. "
Culture Analysis,Improve,"I feel that our organization needs to focus on the positive rather than the negative.  We are worn out, from the top down, with hearing all of the negatively.  This definitely impacts the culture.  People want to come to work with a purpose, the tools to do their job, constructive feedback, and a good environment.  All of the negativity since COVID  has impacted each of those employee wants.   We cannot control what is said and presented outside of the organization, but internally we can keep things positive. We have good things going on and the future is looking up. Lets spotlight that!  "
Morale Analysis,Very Good,"I feel that the morale through my eyes is high, seeing the effort that is being made to continue to improve the depth of the players on the field. And the high quality of individuals that are in charged on putting it all together."
Culture Analysis,Very Good,"I feel that the overall Culture here is good, I get along with everyone within the ballpark."
Culture Analysis,Very Good,"I feel that the Reds are involved in many exciting things in the community, and the opportunity for staff to be part of the ""cool"" things (and not just the things were volunteers are needed) is a good direction.  The introduction of the City Connect uniforms is a great example, with staff having the chance to get the gear early.  As a rule, updated apparel to wear to games and show that you're part of the employee ""family"" is always positive."
Culture Analysis,Very Good,"I feel that the Reds go above and beyond in making this an easy, comfortable and inclusive work place. In my experience here, everyone I've come in contact with has been open and helpful, I get the impression we're all pulling in the right direction. No additional suggestions."
Better Place to Work Analysis,Improve/Good,"I feel that there is a strong disconnect between hourly employees and full time staff. I understand that full time benefits can not be given out freely to all, but it feels as though it can be two different work groups. I wish there was a way to bridge that gap."
Reward & Recognition,Very Good,"I feel that they do a good job with luncheons, time off at Christmas, being recognized on years of service, etc. "
Reward & Recognition,Improve/Good,"I feel that this program is out standing now, and dont have anything to add to improve at this time."
Culture Analysis,Very Good,I feel the baseball operations culture is good and the working environment provided exceeds expectations.
Reward & Recognition,Improve/Good,"I feel the Reds do a strong job in Reds Way & the anniversary recognition. Outside of that, I do not necessarily see the Reds recognizing employees in various ways. "
Culture Analysis,Very Good,I find the culture to be great
Reward & Recognition,Improve/Good,"I frankly could care less about an acknowledgment in a newsletter. If my work has produced a strong ROI, I would expect to be rewarded via compensation and promotions. That is currently not how the organization is set up. "
Better Place to Work Analysis,Improve/Good,I have a lot in the answers below.
Reward & Recognition,Improve,"I have been with the Reds for over a year now and have never seen a single person within my department get any type of praise, recognition or reward from the Reds. Even in the cases where Reward and Recognition was warranted. In order to fix this management must take a look within and stop being so detached from the employees and the employee's jobs. Recognize hard work, the going above and beyond employees and being genuine in the idea of reward and recognition. Create a opportunity for employees to become the usher of the week, the PSO of the month and even look at doing some type of recognition for employees during the off season. "
Culture Analysis,Very Good,I have experienced a strong culture from the Reds so far.
